"","Rank","Major_code","Major","Major_category","recent_total","recent_men","recent_women","recent_ShareWomen","recent_sample_size","recent_employed","recent_full_time","recent_part_time","recent_full_time_year_round","recent_unemployed","recent_unemployment_rate","recent_median","recent_p25th","recent_p75th","recent_college_jobs","recent_non_college_jobs","recent_low_wage_jobs","Grad_total","Grad_sample_size","Grad_employed","Grad_full_time_year_round","Grad_unemployed","Grad_unemployment_rate","Grad_median","Grad_P25","Grad_P75","Nongrad_total","Nongrad_employed","Nongrad_full_time_year_round","Nongrad_unemployed","Nongrad_unemployment_rate","Nongrad_median","Nongrad_P25","Nongrad_P75","Grad_share","Grad_premium","all_total","all_employed","all_employed_full_time_year_round","all_unemployed","all_unemployment_rate","all_median","all_p25th","all_p75th","full_total","full_employed","total_unemployed","full_median"
"1",1,2419,"PETROLEUM ENGINEERING","Engineering",2339,2057,282,0.120564344,36,1976,1849,270,1207,37,0.018380527,110000,95000,125000,1534,364,193,7479,164,5640,4869,112,0.019471488,124000,80000,2e+05,18483,13108,11334,580,0.042372881,126000,75000,215000,0.288074879,-0.015873016,19631,14002,11636,617,0.042205349,125000,75000,210000,29449,23457,766,121250
"2",61,6108,"PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION","Health",23551,8697,14854,0.630716318,38,16620,12537,5346,9131,977,0.055520827,40000,20000,90000,11573,4493,1121,152238,2872,124688,97680,3174,0.024823638,111000,85000,140000,173397,120500,88001,4110,0.032982907,107000,80000,125000,0.46751117,0.037383178,180084,124058,89234,4414,0.034357681,106000,78000,125000,355873,292916,8565,91000
"3",4,2417,"NAVAL ARCHITECTURE AND MARINE ENGINEERING","Engineering",1258,1123,135,0.107313196,16,758,1069,150,692,40,0.050125313,70000,43000,80000,529,102,0,10801,197,6739,6332,222,0.03189197,102000,70000,145000,15759,10596,9044,449,0.040651879,1e+05,60000,128000,0.406664157,0.02,16094,10690,9226,449,0.040308825,97000,60000,125000,28153,22249,711,92250
"4",3,2415,"METALLURGICAL ENGINEERING","Engineering",856,725,131,0.153037383,3,648,558,133,340,16,0.024096386,73000,50000,105000,456,176,0,13656,251,9299,8095,218,0.022906378,1e+05,74000,135000,12555,6692,5415,310,0.044273065,98000,66000,123000,0.521002632,0.020408163,12818,6939,5462,326,0.044872677,96000,65000,123000,27330,21243,560,91750
"5",6,2418,"NUCLEAR ENGINEERING","Engineering",2573,2200,373,0.144966965,17,1857,2038,264,1449,400,0.177226407,65000,50000,102000,1142,657,244,10520,243,8567,8018,100,0.011538018,110000,85000,148000,8688,6730,6258,144,0.020948502,1e+05,65000,130000,0.547688463,0.1,9826,7320,6474,527,0.067159424,95000,65000,128000,22919,19697,1027,92500
"6",2,2416,"MINING AND MINERAL ENGINEERING","Engineering",756,679,77,0.101851852,7,640,556,170,388,85,0.117241379,75000,55000,90000,350,257,50,6083,126,4491,4038,271,0.056908862,1e+05,72000,140000,10460,7161,6270,366,0.04862495,95000,52000,125000,0.367708396,0.052631579,10746,7416,6419,366,0.047031611,92000,52000,124000,17585,14139,722,90500
"7",53,4005,"MATHEMATICS AND COMPUTER SCIENCE","Computers & Mathematics",609,500,109,0.178981938,7,559,584,0,391,0,0,42000,30000,78000,452,67,25,4810,103,3880,3045,445,0.102890173,98000,65000,131500,6996,5711,5020,150,0.025592902,92000,53000,136000,0.407419956,0.065217391,7184,5874,5039,150,0.024900398,92000,53000,136000,12603,11243,595,81000
"8",10,2408,"ELECTRICAL ENGINEERING","Engineering",81527,65511,16016,0.196450256,631,61928,55450,12695,41413,3895,0.059173845,60000,45000,72000,45829,10874,3170,482767,10070,371723,324080,13974,0.036230513,106000,80000,145000,645159,471850,413582,24278,0.048934952,90000,62000,118000,0.428013008,0.177777778,671647,489965,422317,26064,0.050508789,88000,60000,116000,1235941,1034660,43933,86000
"9",5,2405,"CHEMICAL ENGINEERING","Engineering",32260,21239,11021,0.341630502,289,25694,23170,5180,16697,1672,0.061097712,65000,50000,75000,18314,4440,972,168136,3306,124544,106097,4997,0.03857466,102000,70000,150000,173332,120146,103629,5413,0.043111207,90000,62000,123000,0.492391674,0.133333333,188046,131697,109406,6388,0.046261361,86000,60000,120000,388442,325527,13057,85750
"10",34,2411,"GEOLOGICAL AND GEOPHYSICAL ENGINEERING","Engineering",720,488,232,0.322222222,5,604,524,126,396,49,0.075038285,50000,42800,57000,501,50,49,3940,66,2673,1905,79,0.028706395,105000,75000,140800,5941,3797,3165,0,0,87000,57000,125000,0.398745066,0.206896552,6264,4120,3350,0,0,85000,55000,125000,10924,8664,128,81750
"11",8,5001,"ASTRONOMY AND ASTROPHYSICS","Physical Sciences",1792,832,960,0.535714286,10,1526,1085,553,827,33,0.021167415,62000,31500,109000,972,500,220,6331,136,5480,4548,112,0.020028612,96000,60000,150000,3899,2720,2163,298,0.098740888,85000,56000,109000,0.61886608,0.129411765,4700,3400,2447,320,0.086021505,80000,40000,106000,12823,11257,465,80750
"12",9,2414,"MECHANICAL ENGINEERING","Engineering",91227,80320,10907,0.119558903,1029,76442,71298,13101,54639,4650,0.057342278,60000,48000,70000,52844,16384,3253,347342,7285,266923,234162,9810,0.035449332,1e+05,75000,138000,547538,395914,348301,16897,0.040931564,82000,60000,110000,0.388143662,0.219512195,581529,422207,362053,19360,0.043843856,80000,59000,110000,1020098,845991,33820,80500
"13",11,2407,"COMPUTER ENGINEERING","Engineering",41542,33258,8284,0.199412643,399,32506,30315,5146,23621,2275,0.065409275,60000,45000,75000,23694,5721,980,82102,1806,73147,65371,1592,0.021300793,97000,75000,130000,141270,119738,106089,6639,0.052533293,81000,60000,110000,0.367557259,0.197530864,154160,128742,111025,7456,0.054743829,80000,60000,107000,277804,243350,11323,79500
"14",12,2401,"AEROSPACE ENGINEERING","Engineering",15058,12953,2105,0.139792801,147,11391,11106,2724,8790,794,0.065162085,60000,42000,70000,8184,2425,372,58511,1240,42632,39834,1225,0.027931687,107000,80000,140000,60077,41023,36578,1656,0.038801284,85000,60000,110000,0.493397308,0.258823529,65734,44944,38491,1969,0.041971309,80000,58000,110000,139303,114846,3988,83000
"15",19,2403,"ARCHITECTURAL ENGINEERING","Engineering",2825,1835,990,0.350442478,26,2575,2277,343,1848,170,0.061930783,54000,38000,65000,1665,649,137,6466,143,4857,4264,304,0.058903313,78000,56000,110000,18500,12772,10648,889,0.065075763,80000,52000,106000,0.258992229,-0.025,19587,13713,11180,1017,0.06904277,78000,50000,102000,28878,22754,1491,72500
"16",21,2102,"COMPUTER SCIENCE","Computers & Mathematics",128319,99743,28576,0.222695002,1196,102087,91485,18726,70932,6884,0.063172771,53000,39000,70000,68622,25667,5144,324402,6674,281088,243500,10557,0.036198118,95000,69000,125000,739583,623930,544970,31060,0.047420571,80000,52000,106000,0.304893396,0.1875,783292,656372,561052,34196,0.049518657,78000,51000,105000,1236013,1082861,51637,76500
"17",24,2413,"MATERIALS ENGINEERING AND MATERIALS SCIENCE","Engineering",2993,2020,973,0.325091881,22,2449,1658,1040,1151,70,0.027788805,52000,35000,62000,1911,305,70,17051,335,13042,10727,705,0.051283916,92000,70000,120000,20152,13729,11755,880,0.06023684,78000,55000,105000,0.458323254,0.179487179,21430,14687,11871,933,0.059731114,78000,55000,105000,41474,34187,1708,75000
"18",26,2406,"CIVIL ENGINEERING","Engineering",53153,41081,12072,0.227117943,565,43041,38302,10080,29196,3270,0.070609574,50000,40000,60000,28526,9356,2899,196344,4057,150299,127120,5327,0.034229499,98000,70000,130000,338011,247251,212776,13275,0.050954607,80000,56000,105000,0.367441121,0.225,358593,262831,220528,14823,0.053386589,78000,55000,105000,608090,502216,23420,76500
"19",14,5008,"MATERIALS SCIENCE","Engineering",4279,2949,1330,0.310820285,22,3307,2751,878,1967,78,0.023042836,60000,39000,65000,2626,391,81,14184,299,12263,9894,273,0.021777281,95000,65000,125000,5643,4619,4001,134,0.02819272,80000,65000,103000,0.715388107,0.1875,7208,5866,4505,134,0.022333333,75000,60000,1e+05,25671,23357,485,77500
"20",17,2412,"INDUSTRIAL AND MANUFACTURING ENGINEERING","Engineering",18968,12453,6515,0.343473218,183,15604,14879,2243,11326,699,0.042875544,57000,37900,67000,8306,3235,640,86791,1758,66432,56355,2669,0.038624622,98000,70000,135000,131402,96312,82220,5047,0.049793309,76000,50000,104000,0.397771698,0.289473684,138366,101273,85014,5498,0.051493383,75000,50000,101000,244125,203668,8866,76500
"21",18,2400,"GENERAL ENGINEERING","Engineering",61152,45683,15469,0.252959838,425,44931,41235,7199,33540,2859,0.059824231,56000,36000,69000,26898,11734,3192,268473,4345,199771,174234,7460,0.035998475,1e+05,65000,139000,482878,346258,304610,16636,0.045842588,75000,50000,1e+05,0.357320347,0.333333333,503080,359172,312023,17986,0.047688237,75000,50000,1e+05,832705,672576,28305,76500
"22",51,2501,"ENGINEERING AND INDUSTRIAL MANAGEMENT","Engineering",2906,2400,506,0.174122505,29,2125,1992,462,1358,74,0.03365166,44000,30000,50000,482,844,245,20177,340,12781,11035,1336,0.094637671,107000,70000,150000,46013,26479,21870,1554,0.055434666,75000,50000,108000,0.304834567,0.426666667,47098,27275,22104,1577,0.054658256,74000,50000,107000,70181,49577,2987,75000
"23",7,6202,"ACTUARIAL SCIENCE","Business",3777,2110,1667,0.441355573,51,2912,2924,296,2482,308,0.095652174,62000,53000,72000,1768,314,259,2472,56,2020,1725,162,0.074243813,110000,80000,150000,7998,6666,6040,266,0.038372764,76000,53000,125000,0.236103152,0.447368421,9763,7846,6880,466,0.056063523,72000,53000,115000,16012,13230,936,80000
"24",25,6212,"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS","Business",18713,13496,5217,0.278790146,278,16413,15141,2420,13017,1015,0.058239614,51000,38000,60000,6342,5741,708,41970,963,36227,32121,1459,0.038714642,89000,64500,116000,150110,129179,115177,5690,0.042189087,72000,50000,1e+05,0.218502707,0.236111111,156673,134478,118249,6186,0.043977137,72000,50000,1e+05,217356,192861,8660,71000
"25",29,2499,"MISCELLANEOUS ENGINEERING","Engineering",9133,7398,1735,0.189970437,118,7428,6811,1662,5476,597,0.074392523,50000,39000,65000,3445,2426,365,26032,497,19112,16552,685,0.034601202,90000,60000,122000,53532,41524,36059,2305,0.05259075,70000,50000,1e+05,0.327183148,0.285714286,57006,43906,37194,2744,0.058821008,70000,50000,1e+05,92171,77366,4026,70000
"26",31,2410,"ENVIRONMENTAL ENGINEERING","Engineering",4047,2662,1385,0.342228811,26,2983,2384,930,1951,308,0.093588575,50000,42000,56000,2028,830,260,11722,252,9387,8183,450,0.045745654,81000,56000,110000,10985,8641,7475,304,0.033985467,71900,55000,1e+05,0.516228476,0.126564673,13016,9849,8104,472,0.045732003,70000,50000,95000,28785,24554,1230,68225
"27",39,2503,"INDUSTRIAL PRODUCTION TECHNOLOGIES","Engineering",4631,3477,1154,0.24919024,73,4428,3988,597,3242,129,0.028308097,46000,35000,65000,1394,2454,480,19885,408,14752,12467,603,0.039270596,84500,60000,111000,81076,64389,56559,3431,0.050589797,70000,48000,99000,0.196957241,0.207142857,82142,65401,57266,3431,0.049846002,70000,48000,98000,106658,89714,4163,67625
